"pal"
"#00BDD3"
"#FA62DB"
"#C09B00"
"#FF6A98"
"#35A2FF"
"#FF65AA"
"#00C0B4"
"#00B5EC"
"#00C1A3"
"#00BFC4"
"#00BE67"
"#D973FC"
"#E28A00"
"#F27D53"
"#B186FF"
"#F8766D"
"#61B200"
"#FF62BC"
"#A3A500"
"#39B600"
"#FF61CC"
"#F265E8"
"#00BF7D"
"#9590FF"
"#7CAE00"
"#00BB4E"
"#EA8331"
"#00B92A"
"#C77CFF"
"#00A9FF"
"#B2A000"
"#FD7083"
"#00C091"
"#7099FF"
"#91AA00"
"#CD9600"
"#E76BF3"
"#00B0F6"
"#00BAE0"
"#D89000"
